phase,rating_attribute,rating_question,rating_question_details,rating_low,rating_high,stim_file,age,gender,stim_csv,trial_csv,RL_wrong_instruction,RL_wrong_instruction_n,feedback_txt_incorrect,RL_session_notice,session_name,number_str,practice_reps,condition,left_face,right_face,rewarded_resp,correct_face,reward_prob,pre_rating_scales_loop.thisRepN,pre_rating_scales_loop.thisTrialN,pre_rating_scales_loop.thisN,pre_rating_scales_loop.thisIndex,pre_rating_stims_loop.thisRepN,pre_rating_stims_loop.thisTrialN,pre_rating_stims_loop.thisN,pre_rating_stims_loop.thisIndex,session_loop.thisRepN,session_loop.thisTrialN,session_loop.thisN,session_loop.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,real_trials.thisRepN,real_trials.thisTrialN,real_trials.thisN,real_trials.thisIndex,post_rating_loop.thisRepN,post_rating_loop.thisTrialN,post_rating_loop.thisN,post_rating_loop.thisIndex,post_neutral_face_loop.thisRepN,post_neutral_face_loop.thisTrialN,post_neutral_face_loop.thisN,post_neutral_face_loop.thisIndex,pre_rating_scale.response,pre_rating_scale.rt,practice_response.keys,practice_response.corr,practice_response.rt,real_RL_response.keys,real_RL_response.corr,real_RL_response.rt,post_rating_scale.response,post_rating_scale.rt,participant,participant_gender,skip_practice,skip_ratings,date,expName,frameRate
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,j,,,,,,,,,,,0,0,0,0,,,,,1,91,191,20,,,,,,,,,,,,,,f,0,0.801966487,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,64_vs_36,logs/sub-99/id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png,logs/sub-99/id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png,j,,,,,,,,,,,0,0,0,0,,,,,1,92,192,70,,,,,,,,,,,,,,f,0,1.033643296,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f,,,,,,,,,,,0,0,0,0,,,,,1,93,193,17,,,,,,,,,,,,,,f,1,1.032365565,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,64_vs_36,logs/sub-99/id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png,logs/sub-99/id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png,j,,,,,,,,,,,0,0,0,0,,,,,1,94,194,84,,,,,,,,,,,,,,f,0,1.466818226,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f,,,,,,,,,,,0,0,0,0,,,,,1,95,195,9,,,,,,,,,,,,,,f,1,0.967193136,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f,,,,,,,,,,,0,0,0,0,,,,,1,96,196,13,,,,,,,,,,,,,,f,1,0.633640734,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,64_vs_36,logs/sub-99/id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png,logs/sub-99/id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png,f,,,,,,,,,,,0,0,0,0,,,,,1,97,197,53,,,,,,,,,,,,,,f,1,1.50012125,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,j,,,,,,,,,,,0,0,0,0,,,,,1,98,198,24,,,,,,,,,,,,,,f,0,1.798789392,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,64_vs_36,logs/sub-99/id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png,logs/sub-99/id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png,j,,,,,,,,,,,0,0,0,0,,,,,1,99,199,71,,,,,,,,,,,,,,f,0,0.633610276,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,trustworthiness,Hoe betrouwbaar vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Zeer onbetrouwbaar’ tot ‘Zeer betrouwbaar’.,Zeer onbetrouwbaar,Zeer betrouwbaar,logs/sub-99/id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,,,,,,36,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,3,0,0,0,3,,,,,,,,,-1,4.736,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
