reward_choice	left_face	right_face	rewarded_resp	RT	actual_resp	rewarded	session	correct_resp	correct
80_vs_20	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	f	0.6002917870000001	j	0.0	plusmin	f	0
80_vs_20	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	f	0.600208435	f	1.0	plusmin	f	1
80_vs_20	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	f	0.533623095	f	1.0	plusmin	f	1
80_vs_20	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	j	0.699255999	j	1.0	plusmin	j	1
80_vs_20	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	j	0.733710868	j	1.0	plusmin	j	1
80_vs_20	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	j	0.56697455	j	1.0	plusmin	j	1
64_vs_36	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	j	1.133696942	j	1.0	plusmin	j	1
64_vs_36	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	f	1.233554097	f	1.0	plusmin	f	1
80_vs_20	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	j	0.8652037379999999	j	1.0	plusmin	j	1
64_vs_36	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	f	1.100131639	f	1.0	plusmin	f	1
64_vs_36	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	j	0.833828118	j	1.0	plusmin	j	1
64_vs_36	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	f	0.933690018	f	1.0	plusmin	f	1
64_vs_36	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	f	1.366962613	j	0.0	plusmin	j	1
64_vs_36	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	j	1.033726159	f	0.0	plusmin	f	1
64_vs_36	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	j	2.067045599	f	0.0	plusmin	j	0
64_vs_36	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	f	0.833610156	f	1.0	plusmin	f	1
80_vs_20	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	j	0.966865023	j	1.0	plusmin	j	1
80_vs_20	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	f	0.700538318	f	1.0	plusmin	f	1
80_vs_20	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	f	2.033784259	f	1.0	plusmin	f	1
