phase,rating_attribute,rating_question,rating_question_details,rating_low,rating_high,stim_file,age,gender,pre_rating_scales_loop.thisRepN,pre_rating_scales_loop.thisTrialN,pre_rating_scales_loop.thisN,pre_rating_scales_loop.thisIndex,pre_rating_stims_loop.thisRepN,pre_rating_stims_loop.thisTrialN,pre_rating_stims_loop.thisN,pre_rating_stims_loop.thisIndex,pre_rating_scale.response,pre_rating_scale.rt,participant,participant_gender,skip_practice,skip_ratings,date,expName,frameRate,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1291_gender-F_age-24.png,24,F,0,0,0,1,0,33,33,12,2,3.11,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1270_gender-F_age-30.png,30,F,0,0,0,1,0,34,34,4,2,3.893,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1269_gender-F_age-23.png,23,F,0,0,0,1,0,35,35,3,-2,2.759,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1309_gender-M_age-22.png,22,M,0,0,0,1,0,36,36,21,-2,3.384,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1293_gender-F_age-31.png,31,F,0,0,0,1,0,37,37,13,-1,7.86,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1273_gender-F_age-20.png,20,F,0,0,0,1,0,38,38,5,2,1.576,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1342_gender-M_age-19.png,19,M,0,0,0,1,0,39,39,30,-1,1.534,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1289_gender-F_age-20.png,20,F,0,0,0,1,0,40,40,10,1,2.251,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1318_gender-M_age-35.png,35,M,0,0,0,1,0,41,41,25,-2,2.559,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1264_gender-F_age-26.png,26,F,0,0,0,1,0,42,42,1,0,2.343,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
